Поезд/;Месяц операции;Станция отп.;Станция назн.;Тип/;Кол-во;Сумма по бил.;Сумма по плац.;Сервис;Итог;Расстояние
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3244.3;1591.8;192;5028.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3244.3;1591.8;192;5028.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3965.8;2643.8;192;6801.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3965.8;2643.8;192;6801.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1747.4;1164.9;192;3104.3;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4997.2;3331.4;192;8520.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2595.5;1273.5;192;4061;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2595.5;1273.5;192;4061;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4997.2;3331.4;192;8520.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;2;7592.7;4604.9;384;12581.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;2;4973;2350.2;656;7979.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;2;14204.2;6712.2;656;21572.4;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;2;14204.2;6712.2;656;21572.4;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;9928.8;6619.2;355;16903;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;3;21306.3;10068.3;984;32358.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;3;21306.3;10068.3;984;32358.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;2;14204.2;6712.2;656;21572.4;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;9928.8;6619.2;355;16903;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1У ;1;7102.1;3356.1;328;10786.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4082.4;2721.6;178;6982;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4082.4;2721.6;178;6982;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1994.4;1087.9;174.1;3256.4;1790
